Kantinenplan für Mülheim a.d. Ruhr
Datum:  1 Hitlistenpos.:  91 Menge: 112 Gericht: Spinat-Cannelloni Typ: Fleisch
Datum:  1 Hitlistenpos.:  61 Menge: 225 Gericht: Veggiburger Typ: Vegetarisches
Datum:  1 Hitlistenpos.:  86 Menge: 112 Gericht: Wildlachs mit Kartoffelpueree Typ: Fisch
Datum:  2 Hitlistenpos.:  15 Menge: 225 Gericht: Italienische Gemuesepfanne mit Haehnchen Typ: Fleisch
Datum:  2 Hitlistenpos.:  57 Menge: 112 Gericht: Gebackener Camembert Typ: Vegetarisches
Datum:  2 Hitlistenpos.:  40 Menge: 112 Gericht: Penne mit Pesto Rosso Typ: Vegetarisches
Datum:  3 Hitlistenpos.:   6 Menge: 225 Gericht: Safransuppe mit Straussenfilet Typ: Fleisch
Datum:  3 Hitlistenpos.:  36 Menge: 112 Gericht: Frittierte Mozzarellakugeln in Gorgonzolasauce Typ: Vegetarisches
Datum:  3 Hitlistenpos.:  84 Menge: 112 Gericht: Schupfnudel-Broccoli-Pfanne Typ: Vegetarisches
Datum:  4 Hitlistenpos.:  55 Menge: 112 Gericht: Risotto Tonno Typ: Fleisch
Datum:  4 Hitlistenpos.:  30 Menge: 225 Gericht: Kuerbissuppe mit Feta Typ: Vegetarisches
Datum:  4 Hitlistenpos.:  44 Menge: 112 Gericht: Elcheintopf Typ: Fleisch
Datum:  5 Hitlistenpos.:  51 Menge: 112 Gericht: Toast Italiano Typ: Fleisch
Datum:  5 Hitlistenpos.:  31 Menge: 225 Gericht: Schokoladenfondue Typ: Vegetarisches
Datum:  5 Hitlistenpos.:  85 Menge: 112 Gericht: Kuerbiseintopf Typ: Vegetarisches
Datum:  6 Hitlistenpos.:  88 Menge: 112 Gericht: Tomatensuppe mit Bratwurstbaellchen Typ: Fleisch
Datum:  6 Hitlistenpos.:  78 Menge: 112 Gericht: Kartoffelsuppe Typ: Vegetarisches
Datum:  6 Hitlistenpos.:  32 Menge: 225 Gericht: Gemuesebratling mit Curryreis Typ: Vegetarisches
Datum:  7 Hitlistenpos.:  34 Menge: 112 Gericht: Moussaka Typ: Fleisch
Datum:  7 Hitlistenpos.:  13 Menge: 112 Gericht: Pilzravioli mit Sauce Hollandaise Typ: Vegetarisches
Datum:  7 Hitlistenpos.:   7 Menge: 225 Gericht: Pangasiusfilet mit Kartoffelstampf Typ: Fisch
Datum:  8 Hitlistenpos.:  19 Menge: 225 Gericht: Chili con carne Typ: Fleisch
Datum:  8 Hitlistenpos.:  77 Menge: 112 Gericht: Gemuesecurry Typ: Vegetarisches
Datum:  8 Hitlistenpos.:  56 Menge: 112 Gericht: Pizza Ruhrgebiet Typ: Fleisch
Datum:  9 Hitlistenpos.:  52 Menge: 112 Gericht: Schweinefilet Avantgarde Typ: Fleisch
Datum:  9 Hitlistenpos.:  46 Menge: 112 Gericht: Penne mit Pesto Verde Typ: Vegetarisches
Datum:  9 Hitlistenpos.:  26 Menge: 225 Gericht: Gyros mit Pommes Typ: Fleisch
Datum: 10 Hitlistenpos.:  98 Menge: 112 Gericht: Spaghetti Carbonara Typ: Fleisch
Datum: 10 Hitlistenpos.:  62 Menge: 112 Gericht: Zucchinisuppe Typ: Vegetarisches
Datum: 10 Hitlistenpos.:  45 Menge: 225 Gericht: Gnocchipfanne Typ: Vegetarisches
Datum: 11 Hitlistenpos.:  21 Menge: 112 Gericht: Cordon Bleu mit Kartoffeln Typ: Fleisch
Datum: 11 Hitlistenpos.:   8 Menge: 225 Gericht: Raclette Typ: Vegetarisches
Datum: 11 Hitlistenpos.:  24 Menge: 112 Gericht: Frischer Garnelensalat Typ: Vegetarisches
Datum: 12 Hitlistenpos.:  50 Menge: 112 Gericht: Truthahn mit Blumenkohl Typ: Fleisch
Datum: 12 Hitlistenpos.:  94 Menge: 112 Gericht: Weightwatchers-Powerpfanne Typ: Vegetarisches
Datum: 12 Hitlistenpos.:  14 Menge: 225 Gericht: Forelle Muellerin Art Typ: Fisch
Datum: 13 Hitlistenpos.: 100 Menge: 112 Gericht: Kuerbissuppe mit Haehnchen Typ: Fleisch
Datum: 13 Hitlistenpos.:  47 Menge: 225 Gericht: Belgische Pommes Rot-Weiss Typ: Vegetarisches
Datum: 13 Hitlistenpos.:  97 Menge: 112 Gericht: Rumpsteak mit Kartoffelecken Typ: Fleisch
Datum: 14 Hitlistenpos.:  39 Menge: 112 Gericht: Chickenburger Typ: Fleisch
Datum: 14 Hitlistenpos.:  33 Menge: 112 Gericht: Penne mit Spinatsauce Typ: Vegetarisches
Datum: 14 Hitlistenpos.:   9 Menge: 225 Gericht: Pfannkuchen mit Kirschen Typ: Vegetarisches
Datum: 15 Hitlistenpos.:  35 Menge: 112 Gericht: Asiatisches Schweinegeschnetzeltes Typ: Fleisch
Datum: 15 Hitlistenpos.:  74 Menge: 112 Gericht: Penne Aglio e Olio Typ: Vegetarisches
Datum: 15 Hitlistenpos.:  12 Menge: 225 Gericht: Tofu-Reispfanne Typ: Fleisch
